trip_id,driver_id,vehicle_type,pickup_area,dropoff_area,distance_km,time_of_day,day_of_week,traffic_index,weather,planned_duration_min,actual_duration_min,delivery_status,driver_experience_days
1944,121,bike,central,suburb,8.22,7,Sunday,0.46,clear,27.4,36.21,on_time,740
1504,101,bike,old_city,tech_park,16.69,5,Saturday,0.4,clear,55.63,100.71,delayed,753
785,108,scooter,central,old_city,16.86,0,Sunday,0.33,rain,42.15,86.59,delayed,795
777,110,bike,suburb,central,,19,Thursday,0.72,clear,35.7,60.48,delayed,682
1335,126,bike,tech_park,central,3.58,19,Wednesday,0.75,clear,11.93,16.57,on_time,459
1811,149,scooter,tech_park,central,24.79,11,Wednesday,0.42,clear,61.97,93.08,delayed,242
49,147,bike,industrial,tech_park,23.57,18,Friday,0.77,fog,78.57,159.56,delayed,94
980,130,car,suburb,tech_park,12.26,22,Friday,0.41,rain,24.52,40.77,delayed,985
839,133,bike,tech_park,old_city,13.89,22,Tuesday,0.41,clear,46.3,76.01,delayed,272
548,130,scooter,tech_park,central,3.19,9,Friday,0.89,clear,7.97,24.08,delayed,578
147,133,bike,old_city,tech_park,7.84,14,Thursday,0.36,clear,26.13,37.7,on_time,673
5,105,bike,old_city,tech_park,24.27,11,Tuesday,0.5,rain,80.9,193.04,delayed,281
1842,136,scooter,central,tech_park,21.65,1,Sunday,0.26,clear,54.12,69.84,delayed,271
1022,112,scooter,suburb,suburb,21.29,5,Tuesday,0.48,fog,53.22,92.89,delayed,661
844,114,scooter,industrial,tech_park,20.34,1,Tuesday,0.57,rain,50.85,107.58,delayed,574
2357,132,bike,tech_park,tech_park,18.6,9,Sunday,0.74,rain,62.0,138.93,delayed,238
2238,140,bike,tech_park,tech_park,19.91,20,Sunday,0.39,fog,66.37,103.84,delayed,348
1969,142,scooter,tech_park,central,20.57,11,Saturday,0.43,fog,51.42,88.7,delayed,785
2233,108,bike,old_city,suburb,20.68,5,Friday,0.16,rain,68.93,130.79,delayed,191
176,140,scooter,suburb,suburb,20.17,11,Wednesday,0.57,clear,50.43,74.77,delayed,380
2354,104,bike,suburb,industrial,23.84,14,Saturday,0.38,clear,79.47,107.33,delayed,525
1693,120,bike,tech_park,tech_park,8.15,9,Thursday,0.72,clear,27.17,48.8,delayed,804
1037,109,scooter,suburb,tech_park,9.94,7,Monday,0.35000000000000003,clear,24.85,35.48,on_time,840
821,132,bike,old_city,old_city,5.11,7,Wednesday,0.34,clear,17.03,29.23,on_time,499
1077,105,car,old_city,tech_park,8.44,23,Tuesday,0.37,clear,16.88,22.61,on_time,134
2077,109,bike,old_city,tech_park,7.99,20,Monday,0.58,fog,26.63,61.72,delayed,53
738,102,bike,suburb,tech_park,8.31,18,Tuesday,0.8,fog,27.7,58.03,delayed,922
2427,122,bike,old_city,suburb,5.12,12,Monday,0.53,clear,17.07,26.53,on_time,910
1615,131,scooter,suburb,suburb,20.0,14,Saturday,0.49,rain,50.0,97.18,delayed,813
2274,141,scooter,suburb,suburb,20.71,2,Thursday,0.52,fog,51.77,94.54,delayed,88
26,125,scooter,central,tech_park,2.96,6,Monday,0.35,clear,7.4,18.88,on_time,429
1272,122,scooter,suburb,suburb,10.89,0,Saturday,0.41,rain,27.23,54.9,delayed,136
2041,105,car,industrial,central,17.56,14,Friday,0.42,clear,35.12,45.8,on_time,917
1687,120,car,industrial,tech_park,12.67,16,Tuesday,0.26,clear,25.34,33.58,on_time,527
2441,101,bike,tech_park,central,2.26,6,Saturday,0.19,clear,7.53,1.5,early,210
353,132,car,tech_park,central,8.05,7,Tuesday,0.67,clear,16.1,30.6,on_time,916
1840,139,scooter,tech_park,tech_park,1.58,19,Friday,0.81,rain,3.95,14.26,on_time,457
529,105,car,tech_park,suburb,7.68,1,Thursday,0.55,clear,15.36,25.78,on_time,883
589,138,bike,suburb,central,20.97,17,Monday,0.7,clear,69.9,122.48,delayed,642
2193,102,bike,industrial,industrial,13.42,10,Friday,0.79,clear,44.73,,delayed,576
789,120,bike,central,old_city,7.8,12,Wednesday,0.64,clear,26.0,53.78,delayed,546
2385,132,bike,suburb,tech_park,24.67,6,Monday,0.43,clear,82.23,119.8,delayed,437
2054,101,car,suburb,central,21.79,17,Monday,0.9,clear,43.58,84.83,delayed,585
1577,121,bike,tech_park,industrial,17.37,5,Tuesday,0.6,clear,57.9,89.91,delayed,917
469,106,car,suburb,tech_park,10.44,13,Sunday,0.49,clear,20.88,37.38,delayed,179
50,117,scooter,central,industrial,15.26,21,Wednesday,0.6,clear,38.15,59.63,delayed,128
736,115,bike,old_city,industrial,23.38,10,Wednesday,0.85,clear,77.93,173.7,delayed,294
1931,121,car,industrial,tech_park,18.03,18,Monday,0.63,clear,36.06,56.75,delayed,861
129,106,car,tech_park,suburb,18.82,19,Friday,0.68,fog,37.64,64.91,delayed,146
346,141,bike,suburb,central,5.58,15,Tuesday,0.53,rain,18.6,36.81,delayed,300
1134,127,car,suburb,old_city,14.67,20,Friday,0.52,,29.34,51.7,delayed,552
2170,142,car,suburb,tech_park,3.56,12,Tuesday,0.64,rain,7.12,20.8,on_time,453
1154,116,scooter,tech_park,industrial,5.45,3,Tuesday,0.25,clear,13.62,29.67,delayed,873
2000,122,scooter,old_city,industrial,7.62,3,Tuesday,0.23,fog,19.05,149.71,on_time,52
1520,137,bike,industrial,suburb,13.73,5,Tuesday,0.34,rain,45.77,77.58,delayed,568
1289,137,car,tech_park,old_city,13.98,1,Friday,0.53,clear,27.96,44.62,delayed,545
1493,148,bike,tech_park,old_city,15.86,11,Thursday,0.38,clear,52.87,88.73,delayed,362
2493,126,bike,tech_park,old_city,11.61,6,Friday,0.52,fog,38.7,82.32,delayed,399
1940,144,bike,industrial,central,18.73,16,Saturday,0.35,clear,62.43,80.42,delayed,423
2098,112,scooter,central,suburb,18.05,16,Friday,0.17,rain,45.12,63.23,delayed,463
849,109,bike,central,tech_park,20.34,19,Tuesday,0.69,clear,67.8,115.92,delayed,76
423,148,car,suburb,old_city,23.45,9,Monday,0.64,clear,46.9,91.74,delayed,253
387,104,bike,old_city,old_city,2.21,14,Thursday,0.27,clear,7.37,15.44,on_time,410
890,114,car,industrial,central,2.83,17,Wednesday,0.86,clear,5.66,19.63,on_time,354
2047,106,scooter,tech_park,tech_park,17.11,17,Friday,0.53,rain,42.77,87.98,delayed,532
2273,139,scooter,central,suburb,12.48,0,Saturday,0.32,clear,31.2,40.77,on_time,399
918,123,scooter,tech_park,old_city,16.53,4,Monday,0.38,fog,41.33,78.98,delayed,434
2016,140,bike,suburb,suburb,19.11,8,Friday,0.64,rain,63.7,135.88,delayed,735
273,108,scooter,old_city,tech_park,10.05,9,Sunday,0.73,clear,25.12,54.5,delayed,632
1145,131,car,central,industrial,22.67,2,Saturday,0.49,clear,45.34,69.46,delayed,42
521,116,bike,suburb,tech_park,23.94,6,Monday,0.39,clear,79.8,108.33,delayed,866
1046,124,bike,tech_park,industrial,16.25,12,Friday,0.29,clear,54.17,70.95,delayed,559
2442,124,bike,tech_park,industrial,22.22,11,Friday,0.21,clear,74.07,84.86,on_time,619
853,118,car,old_city,suburb,14.25,7,Thursday,0.45,clear,28.5,48.34,delayed,621
2350,122,bike,industrial,central,16.56,9,Saturday,0.68,rain,55.2,115.99,delayed,616
743,108,scooter,suburb,tech_park,22.37,10,Friday,0.91,clear,55.92,240.39,delayed,70
1175,105,car,tech_park,industrial,6.17,14,Tuesday,0.24,clear,12.34,22.63,on_time,160
931,103,bike,industrial,tech_park,17.52,1,Wednesday,0.46,rain,58.4,111.77,delayed,965
1560,102,scooter,old_city,tech_park,2.07,7,Sunday,0.34,clear,5.17,7.61,on_time,901
2063,108,bike,suburb,central,13.27,3,Thursday,0.25,fog,44.23,62.24,delayed,516
1190,104,scooter,suburb,tech_park,12.09,4,Wednesday,0.36,fog,30.22,47.3,delayed,111
845,143,scooter,tech_park,central,20.77,23,Friday,0.53,fog,51.92,93.4,delayed,974
116,112,scooter,tech_park,tech_park,8.16,1,Sunday,0.5,clear,20.4,30.36,on_time,878
1172,118,bike,suburb,industrial,6.43,10,Friday,0.71,rain,21.43,44.89,delayed,51
1932,100,bike,industrial,suburb,2.52,7,Sunday,0.46,fog,8.4,12.07,on_time,923
2178,137,scooter,industrial,suburb,13.76,9,Monday,0.67,clear,34.4,63.35,delayed,373
164,133,car,old_city,tech_park,14.19,12,Sunday,0.38,clear,28.38,48.76,delayed,419
1135,133,car,tech_park,tech_park,12.41,20,Wednesday,0.5,clear,24.82,32.22,on_time,952
1201,133,car,central,suburb,9.8,12,Friday,0.28,clear,19.6,24.31,on_time,510
2246,133,scooter,old_city,suburb,7.0,13,Monday,0.36,rain,17.5,39.74,delayed,785
433,140,scooter,industrial,industrial,9.02,22,Thursday,0.4,rain,22.55,42.74,delayed,206
842,127,car,tech_park,suburb,13.57,9,Monday,0.58,clear,27.14,47.54,delayed,494
2234,144,bike,suburb,old_city,7.65,20,Saturday,0.59,clear,25.5,46.79,delayed,336
602,126,bike,tech_park,suburb,25.0,14,Wednesday,0.33,fog,83.33,132.29,delayed,873
536,130,bike,tech_park,suburb,23.31,19,Monday,0.61,clear,77.7,136.49,delayed,580
31,144,bike,tech_park,tech_park,15.68,22,Wednesday,0.28,rain,52.27,89.2,delayed,233
1152,128,scooter,old_city,tech_park,23.07,17,Thursday,0.54,clear,57.67,106.42,delayed,756
287,140,bike,tech_park,old_city,24.48,2,Monday,0.53,clear,81.6,149.79,delayed,992
1095,130,bike,tech_park,central,23.68,1,Wednesday,0.27,rain,78.93,126.56,delayed,719
1506,109,bike,old_city,industrial,23.05,3,Friday,0.65,clear,76.83,150.6,delayed,931
2232,143,car,old_city,central,,5,Sunday,0.49,fog,42.5,93.21,delayed,786
2353,114,bike,old_city,industrial,14.42,21,Thursday,0.17,clear,48.07,65.33,delayed,463
1519,123,scooter,industrial,industrial,1.09,5,Saturday,0.57,fog,2.73,3.42,on_time,64
360,131,car,old_city,old_city,24.76,2,Saturday,0.26,clear,49.52,64.76,delayed,239
1754,126,car,central,suburb,7.79,8,Saturday,0.63,fog,15.58,28.23,on_time,382
834,109,scooter,central,industrial,7.0,9,Thursday,0.68,clear,17.5,168.06,on_time,799
33,130,bike,industrial,suburb,13.02,23,Friday,0.49,fog,43.4,80.23,delayed,937
655,132,scooter,old_city,old_city,6.37,9,Thursday,0.84,clear,15.92,34.43,delayed,205
1470,140,bike,tech_park,suburb,6.14,2,Sunday,0.33,clear,20.47,24.15,on_time,140
1745,131,scooter,old_city,central,1.79,14,Monday,0.37,clear,4.47,11.18,on_time,310
1472,120,bike,central,central,3.87,10,Thursday,0.77,clear,12.9,21.33,on_time,861
1904,111,car,old_city,central,4.92,0,Saturday,0.43,clear,9.84,19.57,on_time,908
2109,124,bike,tech_park,central,16.47,11,Thursday,0.33,rain,54.9,94.84,delayed,691
1352,126,scooter,tech_park,tech_park,2.79,8,Wednesday,0.75,clear,6.97,177.6,on_time,308
461,127,bike,old_city,old_city,24.86,15,Tuesday,0.17,clear,82.87,122.61,delayed,142
1657,100,car,central,suburb,3.47,12,Saturday,0.5,clear,6.94,17.01,on_time,662
797,119,scooter,tech_park,tech_park,14.39,16,Thursday,0.34,fog,35.98,56.99,delayed,538
1734,109,car,old_city,tech_park,4.74,7,Saturday,0.49,clear,9.48,12.34,on_time,648
2279,104,scooter,suburb,old_city,23.12,23,Monday,0.22,clear,57.8,82.62,delayed,276
721,103,bike,tech_park,old_city,12.26,3,Sunday,0.23,clear,40.87,53.64,on_time,320
1925,128,bike,suburb,suburb,6.78,22,Wednesday,0.34,rain,22.6,40.45,delayed,548
376,103,car,old_city,tech_park,18.04,2,Saturday,0.49,clear,36.08,62.85,delayed,516
807,138,bike,central,tech_park,2.56,18,Friday,0.72,rain,8.53,27.39,delayed,995
2376,108,car,old_city,tech_park,14.23,3,Thursday,0.4,rain,28.46,61.2,delayed,99
41,138,scooter,suburb,tech_park,18.69,10,Wednesday,0.56,rain,46.73,90.66,delayed,548
1057,119,bike,industrial,suburb,20.32,2,Wednesday,0.19,clear,67.73,72.34,on_time,122
2431,147,scooter,suburb,suburb,2.87,9,Sunday,0.72,clear,7.17,7.13,on_time,455
1667,118,scooter,suburb,industrial,16.41,19,Sunday,0.64,clear,41.02,70.27,delayed,152
1990,115,scooter,central,suburb,4.88,18,Wednesday,0.72,fog,12.2,22.7,on_time,758
1253,127,scooter,old_city,central,17.36,11,Sunday,0.38,clear,43.4,65.37,delayed,234
1632,142,scooter,old_city,central,4.15,22,Thursday,0.31,rain,10.38,21.6,on_time,658
2224,107,scooter,tech_park,suburb,22.28,12,Tuesday,0.68,clear,55.7,88.47,delayed,851
684,143,scooter,suburb,old_city,4.69,19,Monday,0.81,clear,11.72,18.76,on_time,155
2064,110,bike,industrial,industrial,24.35,13,Thursday,0.31,clear,81.17,111.1,delayed,490
808,104,scooter,tech_park,suburb,19.86,3,Wednesday,0.38,clear,49.65,67.31,delayed,845
708,129,scooter,central,central,9.18,23,Saturday,0.28,clear,22.95,34.55,on_time,775
2133,101,scooter,tech_park,industrial,22.35,5,Thursday,0.33,clear,55.88,70.96,delayed,432
884,127,car,suburb,suburb,20.04,17,Thursday,0.78,clear,40.08,72.13,delayed,562
2059,117,bike,industrial,central,6.03,3,Sunday,0.41,clear,20.1,32.45,on_time,970
388,136,scooter,old_city,old_city,4.87,9,Friday,0.89,clear,12.17,29.45,delayed,689
700,140,bike,suburb,industrial,9.86,6,Tuesday,0.4,clear,32.87,46.62,on_time,290
2349,123,bike,central,industrial,2.16,3,Thursday,0.6,clear,7.2,16.44,on_time,367
478,120,car,tech_park,suburb,13.83,17,Tuesday,0.73,clear,27.66,50.98,delayed,102
2147,129,bike,industrial,industrial,13.53,16,Friday,0.26,fog,45.1,72.19,delayed,703
48,149,bike,tech_park,central,7.24,21,Sunday,0.35,rain,24.13,35.57,on_time,761
1066,101,scooter,central,central,20.95,18,Thursday,0.58,clear,52.37,87.27,delayed,713
2094,112,scooter,suburb,industrial,23.6,6,Friday,0.37,clear,59.0,84.19,delayed,453
1508,102,bike,suburb,central,3.4,18,Monday,0.61,clear,11.33,23.38,on_time,838
2150,137,bike,industrial,suburb,10.84,22,Tuesday,0.53,clear,36.13,51.21,delayed,303
659,135,bike,suburb,old_city,3.71,3,Saturday,0.3,rain,12.37,29.09,delayed,708
1347,128,scooter,tech_park,tech_park,17.85,7,Wednesday,0.39,rain,44.62,83.45,delayed,979
1461,122,scooter,suburb,tech_park,15.23,14,Wednesday,0.36,clear,38.07,51.61,on_time,260
1297,141,bike,industrial,old_city,9.65,12,Thursday,0.57,clear,32.17,56.7,delayed,740
1314,114,scooter,industrial,tech_park,5.53,12,Wednesday,0.28,clear,13.82,14.49,on_time,882
1508,102,bike,suburb,central,3.4,18,Monday,0.62,clear,11.33,23.38,on_time,838
1796,135,car,central,suburb,22.76,19,Wednesday,0.89,clear,45.52,86.45,delayed,970
495,105,scooter,central,industrial,19.79,19,Thursday,0.61,clear,49.47,74.72,delayed,767
2324,130,bike,industrial,central,3.39,6,Friday,0.35,clear,11.3,21.56,on_time,578
1475,104,scooter,industrial,suburb,19.83,0,Sunday,0.44,clear,49.57,66.38,delayed,384
2444,122,bike,central,tech_park,6.27,1,Wednesday,0.16,clear,20.9,32.47,on_time,925
966,146,bike,central,industrial,8.8,9,Sunday,0.77,rain,29.33,70.64,delayed,949
1804,111,bike,tech_park,old_city,19.76,11,Friday,0.24,clear,65.87,106.39,delayed,395
401,135,scooter,central,tech_park,17.31,17,Saturday,0.59,clear,43.27,72.06,delayed,133
298,140,car,industrial,old_city,1.05,3,Monday,0.27,clear,2.1,1.0,on_time,344
520,118,scooter,suburb,suburb,23.62,8,Monday,0.61,clear,59.05,101.22,delayed,48
1203,139,scooter,tech_park,suburb,4.11,3,Sunday,0.33,clear,10.28,19.83,on_time,258
509,147,scooter,industrial,suburb,17.18,16,Saturday,0.43,rain,42.95,80.52,delayed,927
1073,114,car,industrial,old_city,15.12,4,Saturday,0.42,clear,30.24,50.86,delayed,60
1921,132,car,industrial,central,14.35,1,Thursday,0.51,clear,28.7,40.46,on_time,706
275,133,scooter,central,tech_park,12.56,2,Thursday,0.14,clear,31.4,27.27,on_time,46
910,129,bike,tech_park,old_city,5.77,5,Thursday,0.35,rain,19.23,37.91,delayed,676
976,116,bike,old_city,central,13.77,22,Tuesday,0.37,clear,45.9,81.12,delayed,177
2057,121,scooter,industrial,central,19.18,6,Thursday,0.13,clear,47.95,55.41,on_time,906
519,119,bike,tech_park,suburb,8.28,22,Sunday,0.3,clear,27.6,38.5,on_time,304
1694,110,scooter,industrial,tech_park,3.47,13,Friday,0.3,clear,8.68,7.72,on_time,863
600,136,scooter,suburb,central,12.04,16,Monday,0.5,clear,30.1,43.96,on_time,96
928,109,bike,tech_park,old_city,1.46,6,Friday,0.32,clear,4.87,1.0,on_time,876
1765,132,scooter,industrial,tech_park,19.45,12,Wednesday,0.44,rain,48.62,94.64,delayed,617
2351,149,scooter,old_city,industrial,15.67,11,Saturday,0.29,clear,39.17,65.87,delayed,634
1644,135,scooter,old_city,central,21.51,2,Sunday,0.31,clear,53.77,83.94,delayed,417
1973,117,scooter,old_city,central,2.51,7,Sunday,0.39,clear,6.27,10.68,on_time,775
1019,137,scooter,suburb,old_city,8.26,5,Thursday,0.2,fog,20.65,40.33,delayed,681
303,146,bike,central,central,1.38,10,Tuesday,0.61,rain,4.6,17.7,on_time,367
1622,143,bike,industrial,central,23.01,12,Friday,0.51,clear,76.7,121.01,delayed,799
1847,135,bike,tech_park,old_city,17.94,9,Friday,0.78,rain,59.8,161.03,delayed,445
173,107,bike,central,industrial,16.82,18,Wednesday,0.69,rain,56.07,116.45,delayed,680
1181,108,car,suburb,suburb,17.38,0,Saturday,0.22,clear,34.76,42.07,on_time,96
755,146,bike,tech_park,central,8.17,4,Tuesday,0.39,clear,27.23,35.87,on_time,167
1590,139,scooter,industrial,tech_park,5.78,23,Monday,0.47,clear,14.45,23.11,on_time,503
1074,105,bike,tech_park,industrial,16.22,9,Tuesday,0.83,clear,54.07,96.89,delayed,992
483,105,scooter,central,industrial,3.71,13,Sunday,0.25,clear,9.27,11.97,on_time,951
1323,143,scooter,suburb,central,17.36,15,Friday,0.27,clear,43.4,54.76,on_time,698
379,139,car,central,tech_park,22.64,5,Wednesday,0.52,rain,45.28,84.15,delayed,878
1795,127,bike,industrial,tech_park,18.6,6,Thursday,0.52,clear,62.0,89.91,delayed,554
1424,100,car,old_city,central,10.58,11,Wednesday,0.58,rain,21.16,58.63,delayed,485
319,144,car,industrial,tech_park,10.83,7,Tuesday,0.43,clear,21.66,29.6,on_time,214
1658,102,scooter,industrial,old_city,7.96,17,Tuesday,0.84,clear,19.9,44.46,delayed,976
850,120,scooter,industrial,old_city,13.85,5,Friday,0.24,clear,34.62,43.1,on_time,299
1576,106,scooter,industrial,central,18.26,8,Sunday,0.92,clear,45.65,94.38,delayed,644
474,120,bike,central,central,5.72,14,Tuesday,0.55,clear,19.07,24.14,on_time,61
1094,126,scooter,suburb,industrial,15.45,14,Sunday,0.49,clear,38.62,61.51,delayed,271
1634,148,car,central,central,,13,Sunday,0.32,rain,35.9,61.82,delayed,423
409,107,bike,suburb,suburb,3.59,22,Wednesday,0.41,clear,11.97,13.12,on_time,808
2326,130,bike,tech_park,old_city,9.26,9,Sunday,0.7,clear,30.87,69.08,delayed,993
391,119,scooter,old_city,suburb,10.53,19,Sunday,0.79,clear,26.32,54.65,delayed,839
987,110,scooter,tech_park,tech_park,13.13,16,Saturday,0.57,rain,32.83,60.65,delayed,570
1481,146,scooter,old_city,central,24.61,4,Monday,0.31,clear,61.52,87.25,delayed,237
2489,120,bike,central,industrial,3.83,14,Monday,0.55,fog,12.77,29.78,delayed,244
2026,136,bike,tech_park,old_city,8.55,15,Saturday,0.48,rain,28.5,67.65,delayed,599
2490,111,scooter,tech_park,suburb,1.46,22,Friday,0.36,rain,3.65,8.59,on_time,903
2310,142,car,tech_park,old_city,9.7,9,Sunday,0.92,clear,19.4,,delayed,938
2208,102,car,industrial,industrial,19.95,3,Friday,0.47,clear,39.9,59.13,delayed,532
1678,115,bike,old_city,tech_park,22.0,9,Monday,0.61,clear,73.33,144.71,delayed,665
337,146,car,suburb,old_city,17.45,0,Sunday,0.29,clear,34.9,56.97,delayed,185
802,113,car,tech_park,suburb,22.26,3,Tuesday,0.38,clear,44.52,53.54,on_time,382
731,125,car,industrial,suburb,9.52,2,Tuesday,0.44,clear,19.04,25.67,on_time,688
1997,126,bike,central,tech_park,21.65,4,Monday,0.52,clear,72.17,106.8,delayed,762
321,128,car,tech_park,industrial,6.28,21,Saturday,0.23,clear,12.56,24.26,on_time,151
1003,115,scooter,old_city,central,14.32,14,Thursday,0.55,clear,35.8,73.4,delayed,425
781,132,bike,industrial,central,21.88,21,Monday,0.35,fog,72.93,119.19,delayed,464
1762,138,scooter,old_city,tech_park,5.87,7,Thursday,0.59,clear,14.67,33.28,delayed,277
380,140,bike,industrial,central,10.61,15,Sunday,0.48,clear,35.37,58.31,delayed,345
1625,140,car,tech_park,central,9.49,8,Tuesday,0.71,rain,18.98,47.79,delayed,225
1677,111,bike,old_city,old_city,13.05,19,Wednesday,0.85,clear,43.5,89.71,delayed,559
2124,126,bike,old_city,central,19.97,14,Sunday,0.3,clear,66.57,103.49,delayed,61
1916,132,scooter,central,suburb,2.26,4,Monday,0.3,clear,5.65,10.16,on_time,704
1023,127,scooter,old_city,central,10.09,7,Monday,0.31,clear,25.22,37.24,on_time,896
1068,143,car,central,suburb,18.99,0,Friday,0.64,clear,37.98,65.72,delayed,705
105,144,bike,industrial,suburb,10.22,8,Monday,0.95,rain,34.07,80.12,delayed,550
1302,145,bike,central,tech_park,7.62,20,Saturday,0.28,clear,25.4,29.19,on_time,947
451,123,bike,industrial,suburb,2.53,10,Saturday,0.59,clear,8.43,7.93,on_time,856
1106,114,car,old_city,tech_park,3.37,21,Wednesday,0.48,clear,6.74,11.22,on_time,885
1191,124,scooter,tech_park,suburb,1.2,22,Thursday,0.36,rain,3.0,3.24,on_time,126
2491,145,scooter,tech_park,suburb,3.35,11,Tuesday,0.46,clear,8.38,21.72,on_time,811
310,145,scooter,tech_park,old_city,16.17,16,Tuesday,0.25,clear,40.43,63.38,delayed,858
